Target,Accessions,Compounds
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase Lck,P06239|P40337,1
SRC,P06241|P12931|P06239|P07947|P51451|P08631|P07948|P42685|P09769|Q9H3Y6,1
Gelsolin,P06396,1
Protein cereblon/Retinoblastoma-associated protein,P06400|Q96SW2,1
von Hippel-Lindau disease tumor suppressor/Progesterone receptor,P06401|P40337,1
CDK1/Cyclin A,P06493|P20248|P78396,1
CDK1/Cyclin E,P06493|P24864|O96020,1
Complement C2,P06681,1
Corticoliberin,P06850,1
Acyl-CoA-binding protein,P07108,1
von Hippel-Lindau disease tumor suppressor/L-lactate dehydrogenase B chain,P07195|P40337,1
Neurofilament medium polypeptide,P07197,1
Heat shock protein HSP 90-alpha/Hsp90 co-chaperone Cdc37,P07900|Q16543,1
Protein cereblon/Laminin subunit beta-1,P07942|Q96SW2,1
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase Yes,P07947|P40337,1
Centrosomal protein 43/RET,P07949|O95684,1
Protein cereblon/Proto-oncogene tyrosine-protein kinase receptor Ret/Kinesin-1 heavy chain,P07949|P33176|Q96SW2,1
"Fumarate hydratase, mitochondrial",P07954,1
von Hippel-Lindau disease tumor suppressor/Insulin-like growth factor 1 receptor,P08069|P40337,1
Collagen alpha-2(I) chain,P08123,1
Rho-related GTP-binding protein RhoC,P08134,1
Inhibin beta A chain,P08476,1
Protein cereblon/Receptor-type tyrosine-protein phosphatase C,P08575|Q96SW2,1
Complement factor H,P08603,1
U1 small nuclear ribonucleoprotein 70 kDa,P08621,1
Integrin alpha-5/beta-6/beta-8,P08648|P18564|P26012,1
Interleukin-6 receptor subunit alpha,P08887,1
von Hippel-Lindau disease tumor suppressor/Proto-oncogene tyrosine-protein kinase ROS,P08922|P40337,1
ROS1-GOPC,P08922|Q9HD26,1
Villin-1,P09327,1
Clathrin light chain B,P09497,1
"2',3'-cyclic-nucleotide 3'-phosphodiesterase",P09543,1
Protein cereblon/Platelet-derived growth factor receptor beta,P09619|Q96SW2,1
Fructose-bisphosphate aldolase C,P09972,1
Neuropeptide S,P0C0P6,1
Histone H2A.Z,P0C0S5,1
Polyubiquitin-B,P0CG47,1
Polyubiquitin-C,P0CG48,1
Calmodulin-2,P0DP24,1
V-set and immunoglobulin domain-containing protein 8,P0DPA2,1
Telomere zinc finger-associated protein,P10074,1
Androgen receptor/PELP1,P10275|Q8IZL8,1
Apoptosis regulator BAX/Bcl-2,P10415|Q07812,1
Sequestosome-1/Microtubule-associated protein tau,P10636|Q13501,1
Kelch-like ECH-associated protein 1/Microtubule-associated protein tau,P10636|Q14145,1
Protein cereblon/Mast/stem cell growth factor receptor Kit,P10721|Q96SW2,1
T-cell-specific surface glycoprotein CD28,P10747,1
Leukocyte antigen CD37,P11049,1
Protein 4.1,P11171,1
Integrin alpha-M,P11215,1
Lysosome-associated membrane glycoprotein 1,P11279,1
Protein cereblon/Steroid hormone receptor ERR1,P11474|Q96SW2,1
Microtubule-associated protein 1 light chain 3 beta/Cyclin-dependent kinase 4/G1/S-specific cyclin-D1,P11802|P24385|Q9GZQ8,1
Protein cereblon/G1/S-specific cyclin-E1/Cyclin-dependent kinase 4,P11802|P24864|Q96SW2,1
CDK4/CDK9,P11802|P50750,1
Serum response factor,P11831,1
"Cytochrome c oxidase subunit 6A1, mitochondrial",P12074,1
Low affinity immunoglobulin gamma Fc region receptor II-a,P12318,1
"Creatine kinase U-type, mitochondrial",P12532,1
Alpha-actinin-1,P12814,1
Myosin light chain 4,P12829,1
Promotilin,P12872,1
Src/Lck kinase,P12931|P06239,1
von Hippel-Lindau disease tumor suppressor/Proto-oncogene tyrosine-protein kinase Src,P12931|P40337,1
"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",P13073,1
Cytochrome b-245 light chain,P13498,1
Neural cell adhesion molecule 1,P13591,1
Translationally-controlled tumor protein,P13693,1
"Electron transfer flavoprotein subunit alpha, mitochondrial",P13804,1
Annexin A8,P13928,1
CD59 glycoprotein,P13987,1
Glucosidase 2 subunit beta,P14314,1
Zinc finger protein RFP,P14373,1
