Target,Accessions
DNA-directed RNA polymerase I subunit RPA49,Q9GZS1
E3 ubiquitin-protein ligase RAD18,Q9NS91
RNA polymerase II-associated factor 1 homolog,Q8N7H5
Protein fem-1 homolog B,Q9UK73
Neuropeptide S,P0C0P6
Clathrin light chain B,P09497
Ras GTPase-activating protein-binding protein 2,Q9UN86
Golgin subfamily A member 3,Q08378
Hydroxysteroid dehydrogenase-like protein 2,Q6YN16
Sorting nexin-9,Q9Y5X1
Serine/threonine-protein kinase LMTK2,Q8IWU2
Microfibrillar-associated protein 1,P55081
OCIA domain-containing protein 1,Q9NX40
Pumilio homolog 2,Q8TB72
Transducin beta-like protein 3,Q12788
Tektin-1,Q969V4
Vacuolar protein sorting-associated protein 51 homolog,Q9UID3
Caspase recruitment domain-containing protein 19,Q96LW7
Solute carrier family 2, facilitated glucose transporter member 14,Q8TDB8
Multifunctional methyltransferase subunit TRM112-like protein,Q9UI30
Polypeptide N-acetylgalactosaminyltransferase 10,Q86SR1
Rho GEF 11/Transforming protein RhoA,P61586|O15085
Low affinity immunoglobulin gamma Fc region receptor III-B,O75015
ADP-ribosylation factor-like protein 8B,Q9NVJ2
Transcription factor IIIB 90 kDa subunit,Q92994
Peptidyl-prolyl cis-trans isomerase FKBP14,Q9NWM8
Protein cereblon/BET1 homolog,Q96SW2|O15155
Sodium channel regulatory subunit beta-2,O60939
Putative histone-lysine N-methyltransferase PRDM6,Q9NQX0
Endoplasmic reticulum resident protein 29,P30040
Protein kinase C and casein kinase substrate in neurons protein 2,Q9UNF0
