UniProt,Compounds
Q15544,1
Q15582,1
Q15596|Q96SW2,1
Q15773,1
Q15788|Q96SW2,1
Q15878,1
Q15910|Q9GZQ8,1
Q15950,1
Q16186|Q96SW2,1
Q16198,1
Q16322,1
Q16512|P61586,1
Q16558,1
Q16611,1
Q16635,1
Q16763,1
Q16832|Q9BXW4|Q9GZQ8|Q9H492,1
Q16854,1
Q3MJ16,1
Q4G176,1
Q4J6C6,1
Q4VC05,1
Q5BJH7,1
Q5DX21,1
Q5JUR7,1
Q5MIZ7,1
Q5QJU3,1
Q5QNW6,1
Q5SWA1,1
Q5T124,1
Q5VU57,1
Q5VW38,1
Q5VWG9,1
Q658Y4,1
Q68CZ2,1
Q693B1,1
Q6B0I6|P40337,1
Q6NXG1,1
Q6P587,1
Q6UWF3,1
Q6XZF7,1
Q6ZNB5,1
Q6ZPD8,1
Q6ZXV5,1
Q71DI3,1
Q7L9L4,1
Q7Z2E3,1
Q7Z2K8,1
Q86SR1,1
Q86TX2,1
Q86UD5,1
Q86V24,1
Q86VF5,1
Q86VQ6,1
Q86WV7,1
Q86XP0,1
Q86YV9,1
Q8IUC8,1
Q8IUR0,1
Q8IUR6,1
Q8IVP5,1
Q8IVT2,1
Q8IWW8,1
Q8IX18,1
Q8IXN7,1
Q8IY17,1
Q8IYS0,1
Q8IZD2,1
Q8N118,1
Q8N2F6,1
Q8N5B7,1
Q8N5C8,1
Q8NCL4,1
Q8NFF2,1
Q8NFR3,1
Q8NHY2,1
Q8TAV3,1
Q8TDB8,1
Q8TF40,1
Q8TF66,1
Q8WUH6,1
Q8WUW1,1
Q8WVB6,1
Q8WWN8,1
Q8WYN0,1
Q92540,1
Q92769|O60341|P40337|Q9UKL0,1
Q92793|P35222,1
Q92800|Q9GZQ8,1
Q92994,1
Q96A54,1
Q96DB2|Q96SW2,1
Q96EP0,1
Q96ES7,1
Q96F24,1
Q96FL9,1
Q96JH7,1
Q96L73|Q96SW2,1
Q96MN2,1
Q96RU8,1
Q96SN7|Q13586,1
Q96SW2|O00468,1
Q96SW2|O00469,1
Q96SW2|O43278,1
Q96SW2|O60869,1
Q96SW2|O75534,1
Q96SW2|O95273,1
Q96SW2|P15924,1
Q96SW2|P30046,1
Q96SW2|P63172,1
Q96SW2|P84101,1
Q96SW2|Q06587,1
Q96SW2|Q13625,1
Q96SW2|Q149N8,1
Q96SW2|Q15223,1
Q96SW2|Q15561,1
Q96SW2|Q15562,1
Q96SW2|Q16342,1
Q96SW2|Q17R98,1
Q96SW2|Q5JSZ5,1
Q96SW2|Q6FI81,1
Q96SW2|Q6ZS81,1
Q96SW2|Q86UU1,1
Q96SW2|Q8IY57,1
Q96SW2|Q8N108,1
Q96SW2|Q8N488,1
Q96SW2|Q8NCH0,1
Q96SW2|Q8TDB6,1
Q96SW2|Q92520,1
Q96SW2|Q96GA3,1
Q96SW2|Q96MF7,1
Q96SW2|Q99594,1
Q96SW2|Q9BQ15,1
Q96SW2|Q9BRK5,1
Q96SW2|Q9BU19,1
Q96SW2|Q9C0A0,1
Q96SW2|Q9HAZ2,1
Q96SW2|Q9NPD8,1
Q96SW2|Q9NVD3,1
Q96SW2|Q9Y5V3,1
Q96SW2|Q9Y653,1
Q99466,1
Q99719,1
Q99741,1
Q9BQE9,1
Q9BRQ5|Q13586,1
Q9BUT1,1
Q9BVI0,1
Q9BVQ7,1
Q9BW91,1
Q9BWU1|Q96SW2,1
Q9BXU1,1
Q9BYG3,1
Q9BYX4,1
Q9BZ23,1
Q9BZ95|Q96SW2,1
Q9BZX2|P40337,1
Q9C0C9,1
Q9GZR5,1
Q9GZV8,1
Q9H0E3,1
Q9H0F6|Q9BYM8|Q96EP0,1
Q9H4Q3,1
Q9H4Q4,1
Q9H5X1,1
Q9H6I2,1
Q9H853,1
Q9H8M2|Q9Y4B6,1
Q9H903,1
Q9H910,1
Q9H9Q2,1
Q9HA82,1
Q9HAT2,1
Q9HAZ1|P49759|P49760,1
Q9HAZ2,1
Q9HB40,1
Q9HBH9|Q96SW2,1
Q9HBI0,1
Q9HC52|Q96SW2,1
Q9HCU8|Q96SW2,1
Q9HD64,1
Q9NP80,1
Q9NPJ3,1
Q9NQ88,1
Q9NQV5,1
Q9NQV6,1
Q9NQV8,1
Q9NQX0,1
Q9NQY0,1
Q9NRC8|Q96SW2,1
Q9NRD8,1
Q9NRD9,1
Q9NRS4|Q96SW2,1
Q9NWM8,1
Q9NX74,1
Q9NXA8|Q96SW2,1
Q9NYG2,1
Q9NYJ8,1
Q9NZH8,1
Q9P2K3|Q9UK73,1
Q9UBC9,1
Q9UBU7,1
Q9UBY5|Q92633,1
Q9UDW1,1
Q9UEF7,1
Q9UI30,1
Q9UI40,1
Q9UI95,1
Q9UJ14,1
Q9UK73,1
Q9UK73|Q8N108,1
Q9UK73|Q96ST3,1
Q9UKL0|Q9UK73,1
Q9UKN7,1
Q9UKU6,1
Q9UKX5,1
Q9UL26,1
Q9UM73|P06753,1
Q9UM73|P09493,1
Q9UM73|P33176,1
